"County, State",State,County Name,# per 100K,Calc Positive Severe Depression,Calc Total Depression Responses
"Esmeralda, Nevada",Nevada,Esmeralda,201,9,19
"Carter, Tennessee",Tennessee,Carter,89,196,456
"Desha, Arkansas",Arkansas,Desha,86,29,59
"Bristol, Virginia",Virginia,Bristol,80,64,151
"Culberson, Texas",Texas,Culberson,80,9,12
"Edwards, Texas",Texas,Edwards,79,5,9
"Sullivan, Tennessee",Tennessee,Sullivan,75,607,"1,509"
"Dearborn, Indiana",Indiana,Dearborn,75,213,507
"Wise, Virginia",Virginia,Wise,70,149,319
"Greene, Tennessee",Tennessee,Greene,68,235,601
"Haakon, South Dakota",South Dakota,Haakon,68,6,10
"Lafayette, Florida",Florida,Lafayette,68,45,127
"Oldham, Texas",Texas,Oldham,67,5,8
"Hawkins, Tennessee",Tennessee,Hawkins,65,181,447
"Washington, Tennessee",Tennessee,Washington,65,464,"1,301"
"Switzerland, Indiana",Indiana,Switzerland,64,26,61
"Unicoi, Tennessee",Tennessee,Unicoi,64,60,137
"Powell, Montana",Montana,Powell,62,22,36
"Calhoun, Arkansas",Arkansas,Calhoun,62,11,22
"Ripley, Indiana",Indiana,Ripley,61,88,221
"Hardin, Iowa",Iowa,Hardin,61,48,101
"Scott, Virginia",Virginia,Scott,61,66,159
"Clinton, Indiana",Indiana,Clinton,59,100,233
"Madison, Kentucky",Kentucky,Madison,59,277,679
"Gooding, Idaho",Idaho,Gooding,58,38,171
"Sullivan, Pennsylvania",Pennsylvania,Sullivan,57,16,33
"Grand, Utah",Utah,Grand,57,29,59
"Wrangell, Alaska",Alaska,Wrangell,56,6,13
"Carroll, Kentucky",Kentucky,Carroll,56,30,67
"Wilson, Kansas",Kansas,Wilson,56,23,51
"Aleutians West, Alaska",Alaska,Aleutians West,56,14,28
"McDowell, West Virginia",West Virginia,McDowell,55,39,69
"Ripley, Missouri",Missouri,Ripley,55,29,61
"Powell, Kentucky",Kentucky,Powell,55,36,81
"Calhoun, Mississippi",Mississippi,Calhoun,54,34,70
"Johnson, Tennessee",Tennessee,Johnson,54,52,129
"Benton, Indiana",Indiana,Benton,54,20,49
"Jewell, Kansas",Kansas,Jewell,54,9,18
"Liberty, Georgia",Georgia,Liberty,54,184,428
"Conway, Arkansas",Arkansas,Conway,54,52,108
"Fayette, Indiana",Indiana,Fayette,54,61,158
"Hancock, Tennessee",Tennessee,Hancock,53,15,34
"Isabella, Michigan",Michigan,Isabella,53,166,495
"Lincoln, Nevada",Nevada,Lincoln,53,12,29
"Decatur, Indiana",Indiana,Decatur,53,73,199
"Keith, Nebraska",Nebraska,Keith,53,22,57
"Putnam, Indiana",Indiana,Putnam,53,91,321
"Dyer, Tennessee",Tennessee,Dyer,53,92,242
"Fayette, Ohio",Ohio,Fayette,52,67,154
"Ohio, Indiana",Indiana,Ohio,52,14,38
"Pulaski, Indiana",Indiana,Pulaski,52,34,76
"Delaware, Indiana",Indiana,Delaware,52,289,864
"Traill, North Dakota",North Dakota,Traill,52,16,38
"Wilkin, Minnesota",Minnesota,Wilkin,52,17,51
"Scott, Indiana",Indiana,Scott,52,60,143
"Steele, Minnesota",Minnesota,Steele,52,98,260
"Park, Colorado",Colorado,Park,51,40,104
"Poweshiek, Iowa",Iowa,Poweshiek,51,50,138
"Oglala Lakota, South Dakota",South Dakota,Oglala Lakota,51,35,71
"Brown, Kansas",Kansas,Brown,51,25,50
"Marion, Tennessee",Tennessee,Marion,51,138,346
"Dade, Georgia",Georgia,Dade,51,36,88
"Cass, Indiana",Indiana,Cass,51,96,274
"Quay, New Mexico",New Mexico,Quay,51,20,46
"Gallatin, Kentucky",Kentucky,Gallatin,51,15,33
"Sioux, North Dakota",North Dakota,Sioux,50,9,18
"Tippecanoe, Indiana",Indiana,Tippecanoe,50,472,"1,660"
"Yazoo, Mississippi",Mississippi,Yazoo,50,69,136
"Sedgwick, Colorado",Colorado,Sedgwick,50,6,14
"Ketchikan Gateway, Alaska",Alaska,Ketchikan Gateway,50,35,94
"Atoka, Oklahoma",Oklahoma,Atoka,50,32,66
"Pepin, Wisconsin",Wisconsin,Pepin,50,19,36
"Caribou, Idaho",Idaho,Caribou,50,18,34
"Jackson, Ohio",Ohio,Jackson,50,81,186
"Logan, West Virginia",West Virginia,Logan,49,81,166
"Howard, Indiana",Indiana,Howard,49,214,611
"Boone, Arkansas",Arkansas,Boone,49,88,182
"Ward, Texas",Texas,Ward,49,28,56
"Taney, Missouri",Missouri,Taney,49,141,305
"Randolph, Missouri",Missouri,Randolph,49,66,148
"Izard, Arkansas",Arkansas,Izard,49,28,52
"Upton, Texas",Texas,Upton,49,8,20
"Morgan, West Virginia",West Virginia,Morgan,49,33,76
"Copper River, Alaska",Alaska,Copper River,49,6,15
"Pierce, Nebraska",Nebraska,Pierce,49,16,34
"Hancock, Ohio",Ohio,Hancock,49,168,474
"Pike, Indiana",Indiana,Pike,48,29,67
"Huntington, Indiana",Indiana,Huntington,48,97,251
"Huerfano, Colorado",Colorado,Huerfano,48,22,37
"Shelby, Indiana",Indiana,Shelby,48,119,291
"Anderson, Tennessee",Tennessee,Anderson,48,182,461
"Glascock, Georgia",Georgia,Glascock,48,7,9
"McDowell, North Carolina",North Carolina,McDowell,48,107,264
"Tooele, Utah",Utah,Tooele,48,177,464
"Marshall, Illinois",Illinois,Marshall,48,23,42
"Iron, Utah",Utah,Iron,48,138,414
"Clinton, Iowa",Iowa,Clinton,48,109,297
"Rhea, Tennessee",Tennessee,Rhea,48,80,306
"Hardin, Texas",Texas,Hardin,48,134,314
"Marion, Kentucky",Kentucky,Marion,47,47,144
"Bartholomew, Indiana",Indiana,Bartholomew,47,193,557
"Donley, Texas",Texas,Donley,47,8,14
"Coffee, Tennessee",Tennessee,Coffee,47,148,381
"Osborne, Kansas",Kansas,Osborne,47,9,26
"Aransas, Texas",Texas,Aransas,47,48,101
"Cumberland, Kentucky",Kentucky,Cumberland,47,14,23
"Macon, Missouri",Missouri,Macon,47,36,78
"Thomas, Kansas",Kansas,Thomas,47,18,44
"Pennington, South Dakota",South Dakota,Pennington,47,238,735
"Haralson, Georgia",Georgia,Haralson,47,64,148
"Laclede, Missouri",Missouri,Laclede,47,84,172
"Pueblo, Colorado",Colorado,Pueblo,47,391,964
"Monroe, West Virginia",West Virginia,Monroe,47,27,49
"Vigo, Indiana",Indiana,Vigo,47,242,678
"Stewart, Tennessee",Tennessee,Stewart,47,33,74
"Weber, Utah",Utah,Weber,47,632,"1,694"
"Warren, Mississippi",Mississippi,Warren,46,103,294
"Mellette, South Dakota",South Dakota,Mellette,46,5,10
"DeKalb, Tennessee",Tennessee,DeKalb,46,47,101
"Licking, Ohio",Ohio,Licking,46,374,"1,037"
"Ida, Iowa",Iowa,Ida,46,17,42
"Winston, Mississippi",Mississippi,Winston,46,38,79
"Fallon, Montana",Montana,Fallon,46,7,13
"Fall River, South Dakota",South Dakota,Fall River,46,18,39
"Effingham, Georgia",Georgia,Effingham,46,140,351
"Saline, Nebraska",Nebraska,Saline,46,34,94
"Washington, Virginia",Virginia,Washington,46,126,280
"Bell, Kentucky",Kentucky,Bell,46,57,132
"Fredericksburg, Virginia",Virginia,Fredericksburg,46,65,209
"Swisher, Texas",Texas,Swisher,46,15,29
"Alamosa, Colorado",Colorado,Alamosa,46,38,129
"Scott, Missouri",Missouri,Scott,46,95,233
"Cape Girardeau, Missouri",Missouri,Cape Girardeau,46,184,535
"Harrison, Kentucky",Kentucky,Harrison,46,44,92
"Daviess, Missouri",Missouri,Daviess,46,19,44
"Rowan, Kentucky",Kentucky,Rowan,46,58,160
"Jackson, Illinois",Illinois,Jackson,46,119,314
"Coryell, Texas",Texas,Coryell,46,216,557
"Allen, Kansas",Kansas,Allen,46,28,66
"Itawamba, Mississippi",Mississippi,Itawamba,46,68,154
"Smyth, Virginia",Virginia,Smyth,46,67,167
"Edgar, Illinois",Illinois,Edgar,46,38,83
"Muhlenberg, Kentucky",Kentucky,Muhlenberg,46,69,128
"Cache, Utah",Utah,Cache,46,306,990
"Butler, Nebraska",Nebraska,Butler,46,18,49
"Colbert, Alabama",Alabama,Colbert,45,128,286
"Pontotoc, Oklahoma",Oklahoma,Pontotoc,45,87,211
"Bryan, Georgia",Georgia,Bryan,45,114,333
"Jasper, Georgia",Georgia,Jasper,45,30,62
"Iron, Michigan",Michigan,Iron,45,26,51
"Canadian, Oklahoma",Oklahoma,Canadian,45,332,963
"Vermillion, Indiana",Indiana,Vermillion,45,34,78
"Owsley, Kentucky",Kentucky,Owsley,45,11,29
"Kidder, North Dakota",North Dakota,Kidder,45,5,12
"Little River, Arkansas",Arkansas,Little River,45,27,69
"Kit Carson, Colorado",Colorado,Kit Carson,45,16,34
"Hamblen, Tennessee",Tennessee,Hamblen,45,134,364
"Knox, Kentucky",Kentucky,Knox,45,53,116
"Lincoln, West Virginia",West Virginia,Lincoln,45,46,91
"Bannock, Idaho",Idaho,Bannock,45,159,476
"Adams, Nebraska",Nebraska,Adams,45,69,177
"Union, Iowa",Iowa,Union,45,26,55
"Otsego, Michigan",Michigan,Otsego,45,55,128
"Logan, Kansas",Kansas,Logan,45,7,14
"Lincoln, Montana",Montana,Lincoln,45,45,86
"White, Tennessee",Tennessee,White,44,62,141
"Massac, Illinois",Illinois,Massac,44,33,82
"Owen, Kentucky",Kentucky,Owen,44,23,61
"Clay, Florida",Florida,Clay,44,480,"1,276"
"Yukon-Koyukuk, Alaska",Alaska,Yukon-Koyukuk,44,52,158
"Latah, Idaho",Idaho,Latah,44,88,301
"Woodson, Kansas",Kansas,Woodson,44,6,17
"Stone, Mississippi",Mississippi,Stone,44,49,114
"Geary, Kansas",Kansas,Geary,44,61,182
"Greenlee, Arizona",Arizona,Greenlee,44,21,37
"Alcorn, Mississippi",Mississippi,Alcorn,44,77,188
"Stafford, Virginia",Virginia,Stafford,44,361,"1,037"
"Richland, Illinois",Illinois,Richland,44,35,66
"Des Moines, Iowa",Iowa,Des Moines,44,85,218
"Fulton, Indiana",Indiana,Fulton,44,42,130
"Boyle, Kentucky",Kentucky,Boyle,44,68,201
"Jackson, Tennessee",Tennessee,Jackson,44,21,46
"Campbell, Tennessee",Tennessee,Campbell,44,87,192
"Sweetwater, Wyoming",Wyoming,Sweetwater,44,92,258
"Brewster, Texas",Texas,Brewster,44,20,43
"Tate, Mississippi",Mississippi,Tate,44,62,205
"Kiowa, Oklahoma",Oklahoma,Kiowa,44,19,39
"Pulaski, Virginia",Virginia,Pulaski,44,111,292
"Lee, Virginia",Virginia,Lee,44,45,122
"Glacier, Montana",Montana,Glacier,43,30,76
"Pettis, Missouri",Missouri,Pettis,43,92,201
"Lumpkin, Georgia",Georgia,Lumpkin,43,61,174
"Albany, Wyoming",Wyoming,Albany,43,81,260
"Utah, Utah",Utah,Utah,43,"1,433","5,961"
"McDonald, Missouri",Missouri,McDonald,43,49,95
"Franklin, Illinois",Illinois,Franklin,43,84,207
"Valley, Nebraska",Nebraska,Valley,43,9,27
"Pennington, Minnesota",Minnesota,Pennington,43,31,94
"Clark, Kentucky",Kentucky,Clark,43,79,227
"Arapahoe, Colorado",Colorado,Arapahoe,43,"1,296","3,980"
"Coles, Illinois",Illinois,Coles,43,101,266
"Rush, Indiana",Indiana,Rush,43,36,84
"Wabash, Illinois",Illinois,Wabash,43,24,63
"George, Mississippi",Mississippi,George,43,61,125
"Chugach, Alaska",Alaska,Chugach,43,15,37
"Tishomingo, Mississippi",Mississippi,Tishomingo,43,39,94
"Culpeper, Virginia",Virginia,Culpeper,43,108,309
"Sheboygan, Wisconsin",Wisconsin,Sheboygan,43,252,"1,216"
"Hendricks, Indiana",Indiana,Hendricks,43,364,"1,069"
"Spotsylvania, Virginia",Virginia,Spotsylvania,43,290,833
"Lake, Oregon",Oregon,Lake,43,17,38
"Twin Falls, Idaho",Idaho,Twin Falls,43,197,577
"Dunn, Wisconsin",Wisconsin,Dunn,43,95,252
"Meade, South Dakota",South Dakota,Meade,43,83,228
"Crook, Oregon",Oregon,Crook,43,53,124
"Laramie, Wyoming",Wyoming,Laramie,43,214,772
"Marion, Georgia",Georgia,Marion,43,16,30
"Washington, Indiana",Indiana,Washington,43,57,136
"Greene, Missouri",Missouri,Greene,43,661,"1,868"
"Onslow, North Carolina",North Carolina,Onslow,43,431,"1,164"
"Madison, Idaho",Idaho,Madison,43,116,402
"Audubon, Iowa",Iowa,Audubon,43,11,26
"Adair, Missouri",Missouri,Adair,43,57,175
"Page, Virginia",Virginia,Page,43,50,111
"Cleveland, Oklahoma",Oklahoma,Cleveland,43,596,"1,689"
"Defiance, Ohio",Ohio,Defiance,43,80,202
"Montgomery, Kentucky",Kentucky,Montgomery,42,101,297
"Emmet, Iowa",Iowa,Emmet,42,20,51
"Bradley, Tennessee",Tennessee,Bradley,42,226,631
"Jackson, Mississippi",Mississippi,Jackson,42,278,700
"Lincoln, Missouri",Missouri,Lincoln,42,123,282
"Madison, Indiana",Indiana,Madison,42,276,736
"Osceola, Michigan",Michigan,Osceola,42,56,136
"Johnson, Arkansas",Arkansas,Johnson,42,53,126
"Yalobusha, Mississippi",Mississippi,Yalobusha,42,31,58
"Carbon, Utah",Utah,Carbon,42,43,127
"White, Georgia",Georgia,White,42,60,144
"Whitley, Kentucky",Kentucky,Whitley,42,108,265
"Atchison, Kansas",Kansas,Atchison,42,34,95
"Cumberland, Illinois",Illinois,Cumberland,42,20,46
"Anchorage, Alaska",Alaska,Anchorage,42,586,"1,797"
"Montgomery, Tennessee",Tennessee,Montgomery,42,439,"1,341"
"Cedar, Iowa",Iowa,Cedar,42,45,100
"Macon, Tennessee",Tennessee,Macon,42,42,109
"Story, Iowa",Iowa,Story,42,205,675
"Dawson, Georgia",Georgia,Dawson,42,69,169
"Champaign, Ohio",Ohio,Champaign,42,80,191
"Blue Earth, Minnesota",Minnesota,Blue Earth,42,146,538
"Putnam, Tennessee",Tennessee,Putnam,42,191,567
"Randolph, West Virginia",West Virginia,Randolph,42,59,122
"Baraga, Michigan",Michigan,Baraga,42,17,33
"Mathews, Virginia",Virginia,Mathews,42,18,48
"Herkimer, New York",New York,Herkimer,42,110,309
"Garvin, Oklahoma",Oklahoma,Garvin,42,59,143
"Grant, South Dakota",South Dakota,Grant,42,18,44
"Vinton, Ohio",Ohio,Vinton,42,29,72
"Young, Texas",Texas,Young,42,36,82
"Payne, Oklahoma",Oklahoma,Payne,42,173,520
"Choctaw, Mississippi",Mississippi,Choctaw,42,17,44
"Shelby, Alabama",Alabama,Shelby,42,525,"1,658"
"Nelson, Kentucky",Kentucky,Nelson,42,101,272
"Custer, Montana",Montana,Custer,42,25,73
"Graham, Arizona",Arizona,Graham,42,97,235
"Swain, North Carolina",North Carolina,Swain,41,32,87
"St. Clair, Alabama",Alabama,St. Clair,41,172,490
"Carter, Kentucky",Kentucky,Carter,41,56,137
"La Plata, Colorado",Colorado,La Plata,41,117,294
"Seneca, Ohio",Ohio,Seneca,41,127,349
"Marion, Texas",Texas,Marion,41,14,28
"Clearwater, Minnesota",Minnesota,Clearwater,41,25,78
"Coconino, Arizona",Arizona,Coconino,41,298,949
"Scott, Kentucky",Kentucky,Scott,41,119,307
"Jasper, Iowa",Iowa,Jasper,41,75,182
"Uintah, Utah",Utah,Uintah,41,68,167
"Bleckley, Georgia",Georgia,Bleckley,41,27,61
"Eureka, Nevada",Nevada,Eureka,41,8,14
"Laurel, Kentucky",Kentucky,Laurel,41,113,268
"Harrison, Mississippi",Mississippi,Harrison,41,452,"1,271"
"Chester, Tennessee",Tennessee,Chester,41,30,94
"Crawford, Arkansas",Arkansas,Crawford,41,119,307
"Garfield, Washington",Washington,Garfield,41,5,6
"Clay, Arkansas",Arkansas,Clay,41,30,75
"Faulkner, Arkansas",Arkansas,Faulkner,41,255,697
"McCurtain, Oklahoma",Oklahoma,McCurtain,41,64,146
"Hutchinson, Texas",Texas,Hutchinson,41,34,77
"Polk, Arkansas",Arkansas,Polk,41,40,84
"Grayson, Texas",Texas,Grayson,41,290,784
"Adair, Oklahoma",Oklahoma,Adair,41,42,91
"Sargent, North Dakota",North Dakota,Sargent,41,8,13
"Winchester, Virginia",Virginia,Winchester,41,60,174
"Blount, Alabama",Alabama,Blount,41,92,238
"Carroll, Georgia",Georgia,Carroll,41,285,871
"Kimball, Nebraska",Nebraska,Kimball,41,7,14
"Montgomery, Indiana",Indiana,Montgomery,41,79,238
"Clark, Illinois",Illinois,Clark,41,33,78
"Harmon, Oklahoma",Oklahoma,Harmon,41,5,13
"Montezuma, Colorado",Colorado,Montezuma,41,43,113
"Clatsop, Oregon",Oregon,Clatsop,41,82,220
"Noble, Indiana",Indiana,Noble,41,93,220
"Washington, Arkansas",Arkansas,Washington,41,518,"1,586"
"Bingham, Idaho",Idaho,Bingham,41,96,258
"Kootenai, Idaho",Idaho,Kootenai,41,358,909
"Boone, Nebraska",Nebraska,Boone,41,11,19
"Jasper, Indiana",Indiana,Jasper,41,70,155
"Miller, Arkansas",Arkansas,Miller,41,87,203
"Shelby, Kentucky",Kentucky,Shelby,41,89,279
"Indian River, Florida",Florida,Indian River,41,328,984
"Alpine, California",California,Alpine,41,8,16
"Lamar, Alabama",Alabama,Lamar,41,28,50
"Highland, Ohio",Ohio,Highland,41,87,205
"Boone, Iowa",Iowa,Boone,41,55,166
"Sevier, Utah",Utah,Sevier,41,44,94
"Whitman, Washington",Washington,Whitman,41,96,315
"Hancock, Maine",Maine,Hancock,41,120,312
"Ashtabula, Ohio",Ohio,Ashtabula,41,199,488
"Pope, Arkansas",Arkansas,Pope,41,131,320
